ID,Last_Name,First_Name,URL,Photo
22,Abete,Giovanni,,
89,Adibifar,Shirin,,
1,Anderson,Cormac,http://www.shh.mpg.de/employees/44299/55811,
30,Anonby,Erik,http://iranatlas.net/,
80,Atanasov,Petar,,
62,Baiwir,Esther,,
47,Bastardas,Maria Reina,,
21,Belyaev,Oleg,,
68,Benkato,Adam,,
33,Bevevino,Lisa,https://academics.morris.umn.edu/lisa-bevevino,
70,Bibiko,Hans-Jörg,https://www.shh.mpg.de/person/42541/25500,
83,Boutilier,Matthew,,
60,Cadorini,Giorgio,,
28,Cathcart,Chundra,,
64,Charalambos,Christodoulou,,
51,Cheveau,Loïc,,
73,Christodoulou,Charalambos,,
55,Delorme,Jérémie,,
7,Dewey-Findell,Tonya Kim,,
37,Dworkin,Stephen,,
23,Ekici,Deniz,,
32,Falileyev,Alexander,,
39,Farridnejad,Shervin,,
20,Findell,Martin,,
8,Freiberg,Cassandra,,
34,Geupel,Ulrich,,
81,Gheitasi,Mojtaba,,
61,Gupta,Ganesh,,
29,Haig,Geoffrey,https://www.uni-bamberg.de/aspra/mitarbeiter/prof-dr-geoffrey-haig/,
58,Hammarström,Harald,Harald.Hammarstrom@lingfil.uu.se,
2,Heggarty,Paul,http://www.shh-mpg.academia.edu/PaulHeggarty,
3,Hewitt,Steve,,
16,Irslinger,Britta,,
90,Izadifar,Raheleh,,
11,Jocz,Lechosław,https://pwsz-gorzow.academia.edu/Lechos%C5%82awJocz,
69,Jügel,Thomas,,
46,Kamal Khan,Muhammad,,
82,Khan,Asfar,,
88,Khokhlova,Liudmila,,
24,Kim,Ronald,,
84,Kim,Deborah,,
5,Kümmel,Martin,www.oriindufa.uni-jena.de/kümmel_martin.html,
18,Lewin,Christopher,,
56,Liljegren,Henrik,,
12,Liosis,Nikos,,
38,Loi,Simone,,
65,Lushaj,Borana,,
6,Macak,Martin,,
77,Mahmoudveysi,Parvin,,
44,Markus,Patrycja,,
78,Masoud Mohammadirad,Raheleh,,
14,Mavrogiorgos,Marios,,
40,Mersch,Sam,,
87,Mustafa,Baydaa,,
74,Nemati,Fatemeh,,
91,Nourzaei,Maryam,,
17,O'Muircheartaigh,Peadar,,
76,Ourang,Muhammed,,
57,Pagan,Heather,,
85,Palmer,Timothy,,
92,Pepper,Steve,,
25,Pooth,Roland,,
10,Pronk,Tijman,,
49,Purandare,Mandar,,
54,Rehman,Khawaja,,
59,Rhys,Guto,,
71,Runge,Jakob,https://github.com/runjak,
4,Scarborough,Matthew,https://consultingphilologist.wordpress.com/about-me/,
19,Schulte,Kim,,
26,Serangeli,Matilde,,
45,Sims-Williams,Nicholas,,
52,Steensland,Lars,,
27,Strand,Richard,http://nuristan.info/,
15,Stroński,Krzysztof,,
75,Taheri-Ardali,Mortaza,,
50,Talebi,Mahnaz,,
41,Tittel,Sabine,,
67,Verkerk,Annemarie,,
43,Versloot,Arjen,,
72,Versloot,Paul,,
42,Videsott,Paul,,
86,Vuletić,Nikola,,
48,Widmer,Manuel,,
79,Williams,Nicholas,,
66,Zeini,Arash,,
9,de Vaan,Michiel,,
